SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35000067,6.6,-1,-1,-1,6.25,7.25,6.5,7.25,3,N1,,,,,,,,,,
35000068,7.4,-1,-1,-1,8,7.25,8.75,6.75,3.2,N1,,,,,,,,,,
35000069,8.2,8,7,2.75,-1,-1,-1,6.75,4.6,N1,,,,,,,,,,
35000070,4.8,-1,-1,-1,4.5,5.25,-1,3.5,-1,none,,,,,,,,,,
35000071,2.2,-1,-1,-1,6.5,5.75,-1,5.5,-1,none,,,,,,,,,,
35000072,6.2,-1,-1,-1,6,7,7.25,6.5,2.2,N1,,,,,,,,,,
35000073,7,-1,-1,-1,6.75,8.25,9,8,5.4,N1,,,,,,,,,,
35000074,7.6,-1,-1,-1,5.25,5.75,7.75,8,5.8,N1,,,,,,,,,,
35000075,5.8,-1,-1,-1,6.5,5.5,7.25,6.5,6.4,N1,,,,,,,,,,
35000076,6.6,-1,-1,-1,7.25,6,7.5,8.25,6,N1,,,,,,,,,,
35000077,6.6,8.25,7.25,4.5,-1,-1,-1,5.75,3.4,N1,,,,,,,,,,
35000078,7.8,6,4.75,4.5,-1,-1,-1,7.5,4.6,N1,,,,,,,,,,
35000079,6.6,-1,-1,-1,4.5,5.75,8.25,7,3.4,N1,,,,,,,,,,
35000080,4,-1,-1,-1,4.75,5.25,4.75,4,4.4,N1,,,,,,,,,,
35000081,7.6,6.25,8.75,4.25,-1,-1,-1,4.75,3.6,N1,,,,,,,,,,
35000082,8.4,6,8.25,4.75,-1,-1,-1,6,5.2,N1,,,,,,,,,,
35000083,8,7,7.75,6.5,-1,-1,-1,6.5,4.4,N1,,,,,,,,,,
35000084,7,-1,-1,-1,8.25,8.75,8.5,7.5,5,N1,,,,,,,,,,
35000085,7.4,4.5,6,3.75,-1,-1,-1,6.25,2.6,N1,,,,,,,,,,
35000086,8,-1,-1,-1,6,7,7.5,7.5,6.6,N1,,,,,,,,,,
35000087,7,-1,-1,-1,6,6.25,7.5,6,4.6,N1,,,,,,,,,,
35000088,8.2,-1,-1,-1,6.5,7.25,9.25,8.75,6.8,N1,,,,,,,,,,
35000089,8.8,9.25,8.75,5.75,-1,-1,-1,6.75,6.2,N1,,,,,,,,,,
35000090,7.6,-1,-1,-1,6.5,8.5,8.75,9,9,N1,,,,,,,,,,
35000091,6.4,-1,-1,-1,6.75,6.25,7.75,7.5,3.4,N1,,,,,,,,,,
35000092,6.6,5.75,7,5,-1,-1,-1,7.25,5.4,N1,,,,,,,,,,
35000093,6.2,6.5,5.25,4.25,-1,-1,-1,6.41,4.2,N1,,,,,,,,,,
35000094,8,7.75,6.25,5.25,-1,-1,-1,7.5,9.2,N1,,,,,,,,,,
35000095,5.4,-1,-1,-1,5.75,5,7.75,6.25,5.6,N1,,,,,,,,,,
35000096,6.8,-1,-1,-1,7,6.75,-1,6,-1,none,,,,,,,,,,
35000097,5,-1,-1,-1,6.5,5,-1,5.5,-1,none,,,,,,,,,,
35000098,5,-1,-1,-1,5.5,5.75,-1,7.25,-1,none,,,,,,,,,,
35000099,7.6,5.75,9,7.5,-1,-1,-1,6.75,5,N1,,,,,,,,,,
35000100,7.8,6.25,7.25,5.75,-1,-1,-1,7.75,4.6,N1,,,,,,,,,,
35000101,8.4,-1,-1,-1,7.25,7.75,8.75,7,5.4,N1,,,,,,,,,,
35000102,6.2,-1,-1,-1,8.5,8.5,9.25,7.5,4,N1,,,,,,,,,,
35000103,5.4,-1,-1,-1,5.25,5.25,5.75,7.25,3.4,N1,,,,,,,,,,
35000104,5.4,-1,-1,-1,5.5,5,-1,6.75,-1,none,,,,,,,,,,
35000105,6.4,-1,-1,-1,6,6.5,7.75,5.75,4,N1,,,,,,,,,,
35000106,8.6,7.5,7.5,5,-1,-1,-1,6.25,4.6,N1,,,,,,,,,,
35000107,7.8,-1,-1,-1,8.25,7.5,8.5,7.25,7,N1,,,,,,,,,,
35000108,8.6,5.75,8,3.5,-1,-1,-1,6.25,7.2,N1,,,,,,,,,,
35000109,5,-1,-1,-1,4.75,5.75,9.5,7,4,N1,,,,,,,,,,
35000110,8.2,7.75,8.25,5.75,-1,-1,-1,6,4,N1,,,,,,,,,,
35000111,7.4,-1,-1,-1,7.5,7,9.25,6.5,4.4,N1,,,,,,,,,,
35000112,7.2,6.5,8.25,6.25,-1,-1,-1,5.5,3.2,N1,,,,,,,,,,
35000113,2.8,-1,-1,-1,3.25,4,-1,2.25,-1,none,,,,,,,,,,
35000114,7.2,8,8,5,-1,-1,-1,5.5,5.8,N1,,,,,,,,,,
35000115,7.6,-1,-1,-1,6.25,4.25,4.75,4.5,5.2,N1,,,,,,,,,,
35000116,5.8,-1,-1,-1,5.75,6.25,7.25,5.75,4,N1,,,,,,,,,,
35000117,1.6,-1,-1,-1,2,2.75,-1,4,-1,none,,,,,,,,,,
35000118,8,7,8.5,6,-1,-1,-1,7,5.6,N1,,,,,,,,,,
35000119,8,7.25,6.5,3.5,-1,-1,-1,7,5,N1,,,,,,,,,,
35000120,8.2,8.25,8,3.25,-1,-1,-1,6.75,4.4,N1,,,,,,,,,,
35000121,4.8,-1,-1,-1,4.75,4,-1,4.25,-1,none,,,,,,,,,,
35000122,7.8,6.25,5.25,3.75,-1,-1,-1,7.75,8.8,N1,,,,,,,,,,
35000123,5.2,-1,-1,-1,4.75,6.5,8.5,8,4,N1,,,,,,,,,,
35000124,6.8,-1,-1,-1,7,6.75,6.75,8.5,4.4,N1,,,,,,,,,,
35000125,6.8,-1,-1,-1,6.75,8,8.25,7,3.6,N1,,,,,,,,,,
35000126,7.6,7.75,7,5,-1,-1,-1,6.25,5.4,N1,,,,,,,,,,
35000127,4.8,-1,-1,-1,6.25,6.5,8.5,4.25,7.6,N1,,,,,,,,,,
35000128,8,7.5,8.25,3.75,-1,-1,-1,6.75,4.6,N1,,,,,,,,,,
35000129,8.4,8,8.25,3.75,-1,-1,-1,7.75,6,N1,,,,,,,,,,
35000130,8,6.75,8,3.75,-1,-1,-1,6.75,5,N1,,,,,,,,,,
35000131,3.6,-1,-1,-1,4.75,5.5,-1,4.5,-1,none,,,,,,,,,,
35000132,3.6,-1,-1,-1,4.5,6.5,8,7,4.2,N1,,,,,,,,,,
35000133,7.6,-1,-1,-1,8,7.5,8.25,6,6.4,N1,,,,,,,,,,
35000134,8,8,7.5,4,-1,-1,-1,6.75,6,N1,,,,,,,,,,
35000135,5,-1,-1,-1,7,5.5,-1,3.75,-1,none,,,,,,,,,,
35000136,6.4,-1,-1,-1,6.75,6,9,7.75,4.4,N1,,,,,,,,,,
35000137,8.2,7.5,8.75,5.5,-1,-1,-1,8.75,8.2,N1,,,,,,,,,,
35000138,7.4,7.25,7.75,4.75,-1,-1,-1,5.75,3.8,N1,,,,,,,,,,
35000139,2.2,-1,-1,-1,2.5,4.75,-1,3.5,-1,none,,,,,,,,,,
35000140,8,-1,-1,-1,7.5,8.75,8.5,7.75,4.4,N1,,,,,,,,,,
35000141,5.8,-1,-1,-1,7.75,8.25,8.25,7.5,5.2,N1,,,,,,,,,,
35000142,7.4,-1,-1,-1,7.25,6,8.25,8.5,2.8,N1,,,,,,,,,,
35000143,9,6.25,6.25,4.5,-1,-1,-1,6.5,6,N1,,,,,,,,,,
35000144,7.6,4.5,7.5,3.75,-1,-1,-1,5.25,4.2,N1,,,,,,,,,,
35000145,7.4,6.75,7.25,4.25,-1,-1,-1,5.5,4,N1,,,,,,,,,,
35000146,7.8,7.25,7.75,5.75,-1,-1,-1,3.75,5,N1,,,,,,,,,,
35000147,7,6.25,4.5,4,-1,-1,-1,6.5,5.4,N1,,,,,,,,,,
35000148,6.8,7.25,7.75,2,-1,-1,-1,6.5,5,N1,,,,,,,,,,
35000149,7.2,-1,-1,-1,5,6.25,8,7,3.6,N1,,,,,,,,,,
35000150,7.6,7.75,8.5,4.75,-1,-1,-1,8,5.2,N1,,,,,,,,,,
35000151,7.2,6.5,7.25,3.5,-1,-1,-1,5.75,2.6,N1,,,,,,,,,,
35000152,9,9.5,8,4.25,-1,-1,-1,6.5,4,N1,,,,,,,,,,
35000153,8.2,5.75,7.75,3.75,-1,-1,-1,7.75,6.2,N1,,,,,,,,,,
35000154,6.4,7.5,6.5,3,-1,-1,-1,5.75,5.6,N1,,,,,,,,,,
35000155,6,-1,-1,-1,4.75,6,6.25,6.5,5,N1,,,,,,,,,,
35000156,6.2,-1,-1,-1,6.75,6.25,8.25,8.5,5.4,N1,,,,,,,,,,
35000157,4,-1,-1,-1,3,5.5,-1,3.25,-1,none,,,,,,,,,,
35000158,7,-1,-1,-1,7.5,8,8.25,7.5,3.4,N1,,,,,,,,,,
35000159,7.4,-1,-1,-1,9.25,8.25,8.5,8.25,5.8,N1,,,,,,,,,,
35000160,5.8,-1,-1,-1,6.5,6.25,7,6.5,2.2,N1,,,,,,,,,,
35000161,8.8,9,8.5,5.75,-1,-1,-1,8.25,6,N1,,,,,,,,,,
35000162,6.8,8,8,5.5,-1,-1,-1,7,5.6,N1,,,,,,,,,,
35000163,5.6,-1,-1,-1,8,7,8.75,8.5,6.6,N1,,,,,,,,,,
35000164,5.8,4.25,6.75,4.75,-1,-1,-1,6.5,3.4,N1,,,,,,,,,,
35000165,6.6,-1,-1,-1,3.75,5,6.75,6.33,5.4,N1,,,,,,,,,,
35000166,7.4,5.75,9,5,-1,-1,-1,5.83,6.4,N1,,,,,,,,,,
35000167,8,8.5,8.75,4,-1,-1,-1,8,5.6,N1,,,,,,,,,,
35000168,7.4,-1,-1,-1,6,4,-1,7.75,-1,none,,,,,,,,,,
35000169,8,6.25,6.5,3,-1,-1,-1,6,4.6,N1,,,,,,,,,,
35000170,8.4,7.75,8.75,4.75,-1,-1,-1,6.5,3.8,N1,,,,,,,,,,
35000171,5,-1,-1,-1,3.75,5.25,6,7.5,3,N1,,,,,,,,,,
35000172,9,7,8,8.25,-1,-1,-1,8,5.8,N1,,,,,,,,,,
35000173,6.8,-1,-1,-1,6.25,6,7.5,7,4.4,N1,,,,,,,,,,
35000174,5.2,-1,-1,-1,5.5,5.75,6.75,4.5,3.4,N1,,,,,,,,,,
35000175,8,-1,-1,-1,5,5,5.75,6.75,4.6,N1,,,,,,,,,,
35000176,6.2,-1,-1,-1,3,5.5,4.75,6.5,3.4,N1,,,,,,,,,,
35000177,7,-1,-1,-1,7,6.75,7.75,8.25,4.2,N1,,,,,,,,,,
35000178,6.4,-1,-1,-1,7,7,7,8.5,5.2,N1,,,,,,,,,,
35000179,7.6,8,7.25,4.5,-1,-1,-1,7.5,7,N1,,,,,,,,,,
35000180,7,7.5,7,4.25,-1,-1,-1,7.25,3.4,N1,,,,,,,,,,
