SBD,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?,Mã NN,,Toán,Lý,Hóa,Sinh,S?,??a,GDCD,V?n,Ngo?i ng?
35000995,8.8,8.75,7.5,6.5,-1,-1,-1,8.75,9.6,N1,,,,,,,,,,
35000996,7.4,-1,-1,-1,7.75,7.75,8.5,9,8.2,N1,,,,,,,,,,
35000997,6.4,6,7,2.25,-1,-1,-1,5.5,2.6,N1,,,,,,,,,,
35000998,6.8,-1,-1,-1,6,6,8.25,9,5.8,N1,,,,,,,,,,
35000999,5.8,-1,-1,-1,5,5.5,-1,5.75,-1,none,,,,,,,,,,
35001000,2.6,-1,-1,-1,2.5,2.75,-1,4.5,-1,none,,,,,,,,,,
35001001,6.8,-1,-1,-1,5.5,5.75,6.75,6.75,4.8,N1,,,,,,,,,,
35001002,4,-1,-1,-1,3.5,3.75,-1,3.5,-1,none,,,,,,,,,,
35001003,8.4,8.5,7.5,5.25,-1,-1,-1,6.5,3.4,N1,,,,,,,,,,
35001004,3.6,-1,-1,-1,4.25,2.75,-1,4.75,-1,none,,,,,,,,,,
35001005,8.2,5.75,8.5,5.5,-1,-1,-1,8.5,9.2,N1,,,,,,,,,,
35001006,8.8,8.25,8.75,5.75,-1,-1,-1,6,5.8,N1,,,,,,,,,,
35001007,6.4,-1,-1,-1,3.25,6,-1,5,-1,none,,,,,,,,,,
35001008,5.8,-1,-1,-1,9.25,9.25,8,8.5,3.8,N1,,,,,,,,,,
35001009,8.2,-1,-1,-1,7.25,7,8.75,9,8.2,N1,,,,,,,,,,
35001010,8.2,-1,-1,-1,8,6.75,8.5,9.5,6.2,N1,,,,,,,,,,
35001011,6.6,-1,-1,-1,8,8,-1,7,-1,none,,,,,,,,,,
35001012,8.2,8.25,7,4,-1,-1,-1,6.25,4.2,N1,,,,,,,,,,
35001013,8.4,8.75,8.25,4.75,-1,-1,-1,5.5,5.2,N1,,,,,,,,,,
35001014,6.2,-1,-1,-1,2.25,5.75,6.25,8.5,3,N1,,,,,,,,,,
35001015,5.2,-1,-1,-1,2.5,4.75,-1,3.5,-1,none,,,,,,,,,,
35001016,2.8,-1,-1,-1,3.25,4.75,-1,3.25,-1,none,,,,,,,,,,
35001017,7.6,7.75,7,4.75,-1,-1,-1,6.5,3.4,N1,,,,,,,,,,
35001018,8.6,6.5,7.5,3.75,-1,-1,-1,5.91,3,N1,,,,,,,,,,
35001019,2.2,-1,-1,-1,4,3.75,-1,4.6,-1,none,,,,,,,,,,
35001020,7.6,-1,-1,-1,7,7.75,7.75,9.25,8.2,N1,,,,,,,,,,
35001021,8.2,4.5,5.5,5.75,-1,-1,-1,4.25,6.8,N1,,,,,,,,,,
35001022,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001023,7.4,-1,-1,-1,5,6.5,8.25,7.5,3.8,N1,,,,,,,,,,
35001024,8.8,-1,-1,-1,8.5,7.5,8.5,8.75,9.2,N1,,,,,,,,,,
35001025,5.4,-1,-1,-1,1.5,4,-1,4.25,-1,none,,,,,,,,,,
35001026,7,-1,-1,-1,5.5,6,8.75,8,7,N1,,,,,,,,,,
35001027,3.6,-1,-1,-1,4.5,3.75,-1,4.75,-1,none,,,,,,,,,,
35001028,8.8,-1,-1,-1,9,8.75,9,6.5,6.8,N1,,,,,,,,,,
35001029,8.4,-1,-1,-1,5.75,7.75,8.5,8.75,9.4,N1,,,,,,,,,,
35001030,9.2,9,8.5,3.5,-1,-1,-1,8.25,6.2,N1,,,,,,,,,,
35001031,3.8,-1,-1,-1,4,5.25,-1,4.5,-1,none,,,,,,,,,,
35001032,9.2,7.75,7.75,5.25,-1,-1,-1,7.5,6,N1,,,,,,,,,,
35001033,2.8,-1,-1,-1,3.25,4.5,-1,3.5,-1,none,,,,,,,,,,
35001034,8,-1,8.75,8.25,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001035,4.6,-1,-1,-1,6.75,6.5,-1,6.25,-1,none,,,,,,,,,,
35001036,8.6,8.25,9,5.75,-1,-1,-1,5.75,5.2,N1,,,,,,,,,,
35001037,8.6,8,8.5,6,-1,-1,-1,7.75,6.8,N1,,,,,,,,,,
35001038,7.6,-1,-1,-1,5.75,6.25,7.75,5.5,2.2,N1,,,,,,,,,,
35001039,5.8,-1,-1,-1,6,4.5,7.5,4.75,6,N1,,,,,,,,,,
35001040,4.8,-1,-1,-1,3.75,4.25,-1,2.5,-1,none,,,,,,,,,,
35001041,8.2,7.5,7.25,5,-1,-1,-1,6.75,5.4,N1,,,,,,,,,,
35001042,8.2,-1,-1,-1,5.75,7.25,8.5,9,8.8,N1,,,,,,,,,,
35001043,4.4,-1,-1,-1,2.5,4.25,-1,4,-1,none,,,,,,,,,,
35001044,2,-1,-1,-1,3.25,2.75,-1,5.75,-1,none,,,,,,,,,,
35001045,8,7.75,9,4.75,-1,-1,-1,5.5,3.8,N1,,,,,,,,,,
35001046,2.4,-1,-1,-1,5.75,4.5,-1,5,-1,none,,,,,,,,,,
35001047,7.6,6,6,5.5,-1,-1,-1,7.25,6.4,N1,,,,,,,,,,
35001048,6.2,-1,-1,-1,7.75,6.25,8,7.25,3.4,N1,,,,,,,,,,
35001049,4.6,-1,-1,-1,2.75,6.25,-1,3,-1,none,,,,,,,,,,
35001050,6.8,-1,-1,-1,7.25,6.75,-1,7.25,-1,none,,,,,,,,,,
35001051,8,6.25,6.75,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001052,8.6,8,7.75,4.25,-1,-1,-1,7.25,5,N1,,,,,,,,,,
35001053,7.8,5,4.5,4.25,-1,-1,-1,6,6.4,N1,,,,,,,,,,
35001054,7.8,6.75,7,4,-1,-1,-1,7.25,6.2,N1,,,,,,,,,,
35001055,3.2,-1,-1,-1,3.25,5.25,-1,6,-1,none,,,,,,,,,,
35001056,8.2,8,8.25,3.5,-1,-1,-1,7.5,4.6,N1,,,,,,,,,,
35001057,8.2,6.25,6.25,5.25,-1,-1,-1,7.75,4,N1,,,,,,,,,,
35001058,8.8,8.25,9,8.5,-1,-1,-1,8.75,7.6,N1,,,,,,,,,,
35001059,9,4.75,6,5.25,-1,-1,-1,8.75,7.6,N1,,,,,,,,,,
35001060,7.8,6.25,8.5,8.75,-1,-1,-1,8.25,3.8,N1,,,,,,,,,,
35001061,6.8,-1,-1,-1,3.75,4.75,7.25,8,7.8,N1,,,,,,,,,,
35001062,6.6,-1,-1,-1,5.25,6.5,8.5,9,7.6,N1,,,,,,,,,,
35001063,7.2,-1,-1,-1,8,9,8.5,8.75,4.2,N1,,,,,,,,,,
35001064,7.8,-1,-1,-1,6.5,7.75,9.25,7.5,4.6,N1,,,,,,,,,,
35001065,8,-1,-1,-1,6,5.25,8.25,8.5,5.2,N1,,,,,,,,,,
35001066,8.2,7.5,8,3,-1,-1,-1,6.25,4.2,N1,,,,,,,,,,
35001067,7.2,-1,-1,-1,6.25,6.75,7.5,7.25,3.4,N1,,,,,,,,,,
35001068,5.8,-1,-1,-1,7.5,4.5,-1,5.5,-1,none,,,,,,,,,,
35001069,8,5.5,4.25,4.25,-1,-1,-1,5.5,6.2,N1,,,,,,,,,,
35001070,7.6,7.25,6,3.25,-1,-1,-1,4.25,2.4,N1,,,,,,,,,,
35001071,7.4,4.25,4.5,4.25,-1,-1,-1,5.1,4.8,N1,,,,,,,,,,
35001072,8.4,8,8,3.75,-1,-1,-1,5.75,4.6,N1,,,,,,,,,,
35001073,7.4,7.5,7.5,6,-1,-1,-1,6,6,N1,,,,,,,,,,
35001074,8.8,7.25,8,4,-1,-1,-1,8,6.4,N1,,,,,,,,,,
35001075,2.8,-1,-1,-1,3,4.75,-1,4.75,-1,none,,,,,,,,,,
35001076,7,-1,-1,-1,7.75,8,8,7.75,8,N1,,,,,,,,,,
35001077,6.6,-1,-1,-1,5.75,4.75,6.75,6.25,5,N1,,,,,,,,,,
35001078,8.2,7.5,8,2.75,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001079,7,-1,-1,-1,7.75,8.25,-1,7,-1,none,,,,,,,,,,
35001080,7.4,6.5,6,4.5,-1,-1,-1,7.75,3,N1,,,,,,,,,,
35001081,8.8,6.5,8.5,4.25,-1,-1,-1,6.5,4,N1,,,,,,,,,,
35001082,7.8,7.25,5.25,6.5,-1,-1,-1,5,7.8,N1,,,,,,,,,,
35001083,8.6,8.5,9.25,6.5,-1,-1,-1,8.25,6.6,N1,,,,,,,,,,
35001084,2.2,-1,-1,-1,4.25,5.75,-1,3.25,-1,none,,,,,,,,,,
35001085,5.8,-1,-1,-1,7.75,7.25,7.75,4.25,5.6,N1,,,,,,,,,,
35001086,8.4,8.75,9.25,3.5,-1,-1,-1,6.75,5.2,N1,,,,,,,,,,
35001087,7.4,-1,-1,-1,4.75,6.25,9,6.25,4.6,N1,,,,,,,,,,
35001088,6.8,6.75,7.75,5.25,-1,-1,-1,5.75,5.4,N1,,,,,,,,,,
35001089,9.2,8,7.75,4.25,-1,-1,-1,6.5,7.6,N1,,,,,,,,,,
35001090,5,-1,-1,-1,8,5.25,7.5,6.75,4.6,N1,,,,,,,,,,
35001091,7.6,6.5,5.25,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001092,8.4,9.25,9,5.5,-1,-1,-1,8.25,5.8,N1,,,,,,,,,,
35001093,7.8,7.25,4.5,3.75,-1,-1,-1,7.75,8.2,N1,,,,,,,,,,
35001094,7,-1,-1,-1,7.5,6.75,8.25,8.75,7.2,N1,,,,,,,,,,
35001095,7.2,6.75,7.5,5.25,-1,-1,-1,7,4.8,N1,,,,,,,,,,
35001096,7.8,6.75,7.75,5.75,-1,-1,-1,4.5,5,N1,,,,,,,,,,
35001097,8.2,6.75,4.75,4.5,-1,-1,-1,6.5,5.8,N1,,,,,,,,,,
35001098,7.6,-1,-1,-1,3.75,5,7,6,2.8,N1,,,,,,,,,,
35001099,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001100,7,5,4,4.5,-1,-1,-1,6.75,5.2,N1,,,,,,,,,,
35001101,7.6,5.5,7.5,6.25,-1,-1,-1,5,5,N1,,,,,,,,,,
35001102,7.2,-1,-1,-1,5.5,8.25,8.5,7,6.6,N1,,,,,,,,,,
35001103,8.4,-1,-1,-1,6.5,6.25,7.5,9,8.4,N1,,,,,,,,,,
35001104,7.2,4.75,5.5,3.75,-1,-1,-1,7.5,8,N1,,,,,,,,,,
35001105,6.6,5.5,5.25,3,-1,-1,-1,6,3.4,N1,,,,,,,,,,
35001106,2.2,-1,-1,-1,4.75,4.25,-1,2.25,-1,none,,,,,,,,,,
35001107,8.2,6.5,8.5,3.5,-1,-1,-1,6.25,4.4,N1,,,,,,,,,,
35001108,6.6,-1,-1,-1,6.25,5.75,6.75,7,5.4,N1,,,,,,,,,,
35001109,6,-1,-1,-1,4.5,5.5,-1,5,-1,none,,,,,,,,,,
35001110,7.8,8.5,7,4,-1,-1,-1,7.75,3.8,N1,,,,,,,,,,
35001111,6.4,5.5,5.25,2.5,-1,-1,-1,5.75,4,N1,,,,,,,,,,
35001112,8,5.5,4.5,4,-1,-1,-1,7.25,3.8,N1,,,,,,,,,,
35001113,8.2,7.25,7,4,-1,-1,-1,8,8.4,N1,,,,,,,,,,
35001114,4.6,-1,-1,-1,5.5,5.75,-1,6,-1,none,,,,,,,,,,
35001115,9.2,9.75,9.5,6.25,-1,-1,-1,9,7.4,N1,,,,,,,,,,
35001116,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001117,9,8,8.75,5.5,-1,-1,-1,7,7.2,N1,,,,,,,,,,
35001118,8.4,7.75,8.5,6.25,-1,-1,-1,5.25,4.8,N1,,,,,,,,,,
35001119,7,-1,-1,-1,6.5,6.75,8.5,9.25,7.4,N1,,,,,,,,,,
35001120,8.4,9,9,5.5,-1,-1,-1,7.75,5.2,N1,,,,,,,,,,
35001121,8.4,6.75,5.75,6.75,-1,-1,-1,9.5,9.2,N1,,,,,,,,,,
35001122,7.6,8,-1,-1,-1,-1,-1,-1,7.6,N1,,,,,,,,,,
35001123,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001124,4.4,-1,-1,-1,3,5.5,-1,3.75,-1,none,,,,,,,,,,
35001125,6.6,-1,-1,-1,5.5,7.5,8,6.75,5.6,N1,,,,,,,,,,
35001126,6.2,-1,-1,-1,5.25,7.75,-1,5.5,-1,none,,,,,,,,,,
35001127,6.4,-1,-1,-1,4.5,5.75,6.5,8.5,4.4,N1,,,,,,,,,,
35001128,7.6,-1,-1,-1,5.75,5.75,7.75,8.5,6,N1,,,,,,,,,,
35001129,7.4,-1,-1,-1,3.75,7.5,7,8.75,6,N1,,,,,,,,,,
35001130,6.8,-1,-1,-1,5.25,7.75,7.5,7.25,3.4,N1,,,,,,,,,,
35001131,9.2,9.25,8.75,5.5,-1,-1,-1,7.66,5,N1,,,,,,,,,,
35001132,8.8,8.75,8,5.75,-1,-1,-1,7.25,4.2,N1,,,,,,,,,,
35001133,6.8,-1,-1,-1,5.75,6.5,7.75,7,4.8,N1,,,,,,,,,,
35001134,8.6,8,7.5,4.25,-1,-1,-1,7.25,5,N1,,,,,,,,,,
35001135,5.6,-1,-1,-1,6.5,6.25,-1,5.75,-1,none,,,,,,,,,,
35001136,8,-1,-1,-1,-1,-1,-1,7.75,6.6,N1,,,,,,,,,,
35001137,8.2,-1,-1,-1,7.75,9,9.25,7.5,6.4,N1,,,,,,,,,,
35001138,7.8,-1,-1,-1,5.5,6.5,7.5,8.25,7,N1,,,,,,,,,,
35001139,8.2,8.75,5,4.5,-1,-1,-1,7.25,8,N1,,,,,,,,,,
35001140,8.6,9.75,8.5,6.25,-1,-1,-1,9.25,8.4,N1,,,,,,,,,,
35001141,7.2,-1,-1,-1,5.25,6,8,8.5,7.2,N1,,,,,,,,,,
35001142,8.4,-1,-1,-1,5.5,6.75,8.25,8.5,7.8,N1,,,,,,,,,,
35001143,8.2,-1,-1,-1,6.75,7,8.75,8.5,7,N1,,,,,,,,,,
35001144,3.2,-1,-1,-1,3.25,5.5,-1,1.75,-1,none,,,,,,,,,,
35001145,8.8,7.25,6,4.5,-1,-1,-1,7,8,N1,,,,,,,,,,
35001146,3,-1,-1,-1,3.25,4.75,-1,3.5,-1,none,,,,,,,,,,
35001147,5.6,-1,-1,-1,6,7,7.75,7.25,5.6,N1,,,,,,,,,,
35001148,8.4,8.25,8.75,2.75,-1,-1,-1,7,5.2,N1,,,,,,,,,,
35001149,7.2,-1,-1,-1,5,5.25,6.75,6.75,4,N1,,,,,,,,,,
35001150,6,-1,-1,-1,5,6.25,8.25,7,3.4,N1,,,,,,,,,,
35001151,5,4.5,1,2.25,-1,-1,-1,3.25,3.8,N1,,,,,,,,,,
35001152,6.4,6,3.5,4.75,-1,-1,-1,7.25,9.8,N1,,,,,,,,,,
35001153,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001154,8,8.25,8.5,5.75,-1,-1,-1,7.25,5.4,N1,,,,,,,,,,
35001155,3,-1,-1,-1,4,5.5,-1,5.25,-1,none,,,,,,,,,,
35001156,4.8,-1,-1,-1,4.75,7.25,-1,5.25,-1,none,,,,,,,,,,
35001157,8.4,7.5,8.25,3.75,-1,-1,-1,4,5,N1,,,,,,,,,,
35001158,6.6,-1,-1,-1,6.5,6.25,7.75,7.5,7.2,N1,,,,,,,,,,
35001159,7.6,-1,-1,-1,8.25,7.5,8.75,8,8,N1,,,,,,,,,,
35001160,6.6,-1,-1,-1,7.5,6.25,8,8,6.2,N1,,,,,,,,,,
35001161,7.8,-1,-1,-1,6.25,6.5,8.5,8.25,6.2,N1,,,,,,,,,,
35001162,6,-1,-1,-1,7.75,7.25,8,8,6.2,N1,,,,,,,,,,
35001163,8.2,7.25,7.75,4.75,-1,-1,-1,8.5,8.6,N1,,,,,,,,,,
35001164,8,8.25,6.25,5,-1,-1,-1,8.75,9.2,N1,,,,,,,,,,
35001165,8.2,7.75,8,3.75,-1,-1,-1,7.25,6,N1,,,,,,,,,,
35001166,6.2,-1,-1,-1,6.25,6.75,7.75,6,3,N1,,,,,,,,,,
35001167,4.8,-1,-1,-1,2.5,6,-1,4.75,-1,none,,,,,,,,,,
35001168,2.6,-1,-1,-1,4.75,6.25,-1,4,-1,none,,,,,,,,,,
35001169,6.2,-1,-1,-1,5,5.25,-1,3.5,-1,none,,,,,,,,,,
35001170,7.6,-1,-1,-1,5.5,7.5,8.5,8.75,6.4,N1,,,,,,,,,,
35001171,8.8,-1,-1,-1,7.5,7.5,9.5,8.25,5.2,N1,,,,,,,,,,
35001172,8,-1,-1,-1,5.75,6.5,7.75,8.75,8.6,N1,,,,,,,,,,
35001173,4.8,-1,-1,-1,6.5,6,-1,6.5,-1,none,,,,,,,,,,
35001174,8,7,6.5,4,-1,-1,-1,8.5,5.4,N1,,,,,,,,,,
35001175,8.4,7.75,7.5,5,-1,-1,-1,5.75,4.4,N1,,,,,,,,,,
35001176,7.6,7.75,4.75,3,-1,-1,-1,6,8.4,N1,,,,,,,,,,
35001177,7.2,-1,-1,-1,6,7.5,8.75,9,8.8,N1,,,,,,,,,,
35001178,8.4,8,7,4.25,-1,-1,-1,6,3.8,N1,,,,,,,,,,
35001179,7.8,6.25,7,4,-1,-1,-1,6.75,6.8,N1,,,,,,,,,,
35001180,6.8,-1,-1,-1,4.75,6.75,7,7.75,5.4,N1,,,,,,,,,,
35001181,5.4,-1,-1,-1,9.5,8.5,8.25,7.5,4.4,N1,,,,,,,,,,
35001182,8.4,7,8,3,-1,-1,-1,6.5,7.2,N1,,,,,,,,,,
35001183,2.6,-1,-1,-1,5,5.5,-1,7.5,-1,none,,,,,,,,,,
35001184,8.6,-1,-1,-1,6.75,6.25,6.5,8.75,7.2,N1,,,,,,,,,,
35001185,5.2,-1,-1,-1,4,3.5,6,6.58,3,N1,,,,,,,,,,
35001186,7.6,-1,-1,-1,6.5,7.5,8,9,7.4,N1,,,,,,,,,,
35001187,7.8,7.5,7.5,4,-1,-1,-1,6.75,4.4,N1,,,,,,,,,,
35001188,8,-1,-1,-1,5,7,7.25,8,4.8,N1,,,,,,,,,,
35001189,8,7,2.25,3.5,-1,-1,-1,-1,7,N1,,,,,,,,,,
35001190,7.2,-1,-1,-1,4.5,6,6,6.75,3.6,N1,,,,,,,,,,
35001191,2.6,-1,-1,-1,5.75,6.75,7.25,7.5,4.4,N1,,,,,,,,,,
35001192,7.6,-1,-1,-1,6.5,7.75,7.25,5.75,4.4,N1,,,,,,,,,,
35001193,3,-1,-1,-1,4.5,5.25,-1,4,-1,none,,,,,,,,,,
35001194,3.8,-1,-1,-1,2.75,5.25,-1,3.5,-1,none,,,,,,,,,,
35001195,3,-1,-1,-1,4.75,5.75,-1,5.5,-1,none,,,,,,,,,,
35001196,8.4,-1,-1,-1,6,7.75,8.25,9.25,6.8,N1,,,,,,,,,,
35001197,5,-1,-1,-1,3,6.5,-1,4,-1,none,,,,,,,,,,
35001198,2.2,-1,-1,-1,3,5,-1,5.75,-1,none,,,,,,,,,,
35001199,8,-1,-1,-1,7.25,7,7.75,9,7.8,N1,,,,,,,,,,
35001200,5.4,-1,-1,-1,5.75,7.25,8.25,7.5,4.4,N1,,,,,,,,,,
35001201,8.4,8.5,4.75,5,-1,-1,-1,8.25,8.4,N1,,,,,,,,,,
35001202,7.4,-1,-1,-1,4.5,5,6.5,8.5,7.2,N1,,,,,,,,,,
35001203,7.6,-1,-1,-1,6.25,6.75,6.75,9.25,6.2,N1,,,,,,,,,,
35001204,6.8,7.25,3.5,3.25,-1,-1,-1,5,7,N1,,,,,,,,,,
35001205,7.8,-1,-1,-1,7.5,7.25,8.75,7.75,6.8,N1,,,,,,,,,,
35001206,7.2,-1,-1,-1,6.25,6.5,8.75,8.75,7.2,N1,,,,,,,,,,
35001207,8.2,8.75,4.75,5.75,-1,-1,-1,8.25,9.6,N1,,,,,,,,,,
35001208,8,7.5,7.5,4.75,-1,-1,-1,7.75,5.4,N1,,,,,,,,,,
35001209,7.8,-1,-1,-1,6.25,7.5,9.25,8.75,7.2,N1,,,,,,,,,,
35001210,6,-1,-1,-1,4.5,6,-1,7.75,3.8,N1,,,,,,,,,,
35001211,6.2,-1,-1,-1,7.5,8.75,8.25,8,3.2,N1,,,,,,,,,,
35001212,8,7.75,7.75,3.75,-1,-1,-1,6.75,5,N1,,,,,,,,,,
35001213,3.8,-1,-1,-1,6.75,7.5,-1,6.5,-1,none,,,,,,,,,,
35001214,5,-1,-1,-1,3.75,6.25,-1,4,-1,none,,,,,,,,,,
35001215,8.8,7.5,8.25,4.5,-1,-1,-1,6.75,5.2,N1,,,,,,,,,,
35001216,8,7.5,7.75,5.5,-1,-1,-1,6.5,4.6,N1,,,,,,,,,,
35001217,4.2,-1,-1,-1,5.5,6,-1,6,-1,none,,,,,,,,,,
35001218,2.6,-1,-1,-1,3.75,4.25,-1,5,-1,none,,,,,,,,,,
35001219,2.6,-1,-1,-1,3.75,3.75,-1,4.75,-1,none,,,,,,,,,,
35001220,8,-1,-1,-1,9,9.75,8.75,8.75,8.2,N1,,,,,,,,,,
35001221,7.2,7.75,7,3,-1,-1,-1,6.5,6,N1,,,,,,,,,,
35001222,7.4,-1,-1,-1,6.25,5.75,8.25,9.25,7.6,N1,,,,,,,,,,
35001223,6.4,6,4.75,4,-1,-1,-1,6.25,6.2,N1,,,,,,,,,,
35001224,7,6,4.5,4,-1,-1,-1,6.5,7,N1,,,,,,,,,,
35001225,6,-1,-1,-1,7.25,6,7.75,8,6,N1,,,,,,,,,,
35001226,6.4,-1,-1,-1,5.25,5.25,7.75,6,6,N1,,,,,,,,,,
35001227,8.4,8.75,9,6,-1,-1,-1,7.75,5,N1,,,,,,,,,,
35001228,8.2,6.5,6.5,5.25,-1,-1,-1,9,8.2,N1,,,,,,,,,,
35001229,8.4,6.25,8,3.75,-1,-1,-1,5.75,8,N1,,,,,,,,,,
35001230,6.2,-1,-1,-1,9.25,8.75,9,7.25,7.2,N1,,,,,,,,,,
35001231,8.4,8.75,8.25,6.5,-1,-1,-1,7.25,7.8,N1,,,,,,,,,,
35001232,4.2,-1,-1,-1,5,6.75,-1,3.25,-1,none,,,,,,,,,,
35001233,7,7.75,8.5,3.75,-1,-1,-1,8,4,N1,,,,,,,,,,
35001234,2.4,-1,-1,-1,4.5,5.75,-1,4.5,-1,none,,,,,,,,,,
35001235,2.8,-1,-1,-1,4,4.75,-1,3,-1,none,,,,,,,,,,
35001236,3.8,-1,-1,-1,5.75,7.75,-1,4,-1,none,,,,,,,,,,
35001237,7.6,-1,-1,-1,8,7.25,8,9,4.8,N1,,,,,,,,,,
35001238,4.4,-1,-1,-1,6,6.5,-1,5,-1,none,,,,,,,,,,
35001239,8.2,8.25,8.5,7,-1,-1,-1,9,5.6,N1,,,,,,,,,,
35001240,3.2,-1,-1,-1,2.5,3.5,-1,5.75,-1,none,,,,,,,,,,
35001241,5.4,-1,-1,-1,6.5,6,-1,5.5,-1,none,,,,,,,,,,
35001242,3.8,-1,-1,-1,3.5,4.5,-1,5,-1,none,,,,,,,,,,
35001243,7.8,6.75,8,6.75,-1,-1,-1,7.75,4,N1,,,,,,,,,,
35001244,8.4,-1,-1,-1,6.75,7.75,9,8,6,N1,,,,,,,,,,
35001245,7.8,7,5.25,4.75,-1,-1,-1,8,7.4,N1,,,,,,,,,,
35001246,7.6,7,6.25,3,-1,-1,-1,7.25,7.2,N1,,,,,,,,,,
35001247,6,-1,-1,-1,6.75,6.5,-1,7.5,-1,none,,,,,,,,,,
35001248,7.2,-1,-1,-1,6.25,6.5,8.5,7.75,6.2,N1,,,,,,,,,,
35001249,7.6,7.5,8.25,5.25,-1,-1,-1,8,4.2,N1,,,,,,,,,,
35001250,7.8,-1,-1,-1,8.25,8.5,8.75,9,8.2,N1,,,,,,,,,,
35001251,8.2,3,9,7.75,-1,-1,-1,5.75,2.8,N1,,,,,,,,,,
35001252,7.4,-1,-1,-1,6.5,7,8,9,6.6,N1,,,,,,,,,,
35001253,8.2,-1,-1,-1,7,7,8.5,8.75,7.8,N1,,,,,,,,,,
35001254,7.8,7.25,7.75,2.75,-1,-1,-1,5.5,2.8,N1,,,,,,,,,,
35001255,9,7.5,7,4.5,-1,-1,-1,8,5.2,N1,,,,,,,,,,
35001256,9,7.75,8.75,4.75,-1,-1,-1,8,6,N1,,,,,,,,,,
35001257,7,-1,-1,-1,6,7,8.25,7,5.6,N1,,,,,,,,,,
35001258,7.2,-1,-1,-1,5.5,6,9,7.75,6.4,N1,,,,,,,,,,
35001259,6.6,-1,-1,-1,6.75,8,6.75,8.25,4.8,N1,,,,,,,,,,
35001260,7,-1,-1,-1,7,7.75,8.5,8,6.4,N1,,,,,,,,,,
35001261,8.2,7.25,7.75,3.75,-1,-1,-1,5.75,6.4,N1,,,,,,,,,,
35001262,7.8,-1,-1,-1,5.75,5.75,8.75,7,7.4,N1,,,,,,,,,,
35001263,8.2,7.5,3.5,4.5,-1,-1,-1,9,8,N1,,,,,,,,,,
35001264,7.4,-1,-1,-1,8.25,6.25,5.75,6.25,3,N1,,,,,,,,,,
35001265,7.4,7.25,5,3.25,-1,-1,-1,6.75,5.4,N1,,,,,,,,,,
35001266,8.4,7,8.75,7.5,-1,-1,-1,8,5.4,N1,,,,,,,,,,
35001267,6.8,6.25,5.75,3,-1,-1,-1,7.25,1.8,N1,,,,,,,,,,
35001268,8,-1,-1,-1,8.5,8.25,8,9.25,8.2,N1,,,,,,,,,,
35001269,7.2,-1,-1,-1,6.5,7.5,7.5,8,6.4,N1,,,,,,,,,,
35001270,6.6,-1,-1,-1,9.25,8.5,9,9.25,3.2,N1,,,,,,,,,,
35001271,7.8,6.5,8.75,8,-1,-1,-1,6,6.2,N1,,,,,,,,,,
35001272,7.6,5.5,7.5,4.25,-1,-1,-1,5,6.2,N1,,,,,,,,,,
35001273,7.8,-1,-1,-1,8.5,9.25,9.5,9,8.2,N1,,,,,,,,,,
35001274,8,5.25,8.5,7.75,-1,-1,-1,7.5,4.8,N1,,,,,,,,,,
35001275,7.4,6,6.5,4.5,-1,-1,-1,8,5.4,N1,,,,,,,,,,
35001276,3.4,-1,-1,-1,4.75,7.25,-1,3.25,-1,none,,,,,,,,,,
35001277,5.4,-1,-1,-1,7.25,6.5,-1,3.75,-1,none,,,,,,,,,,
35001278,6.8,6.75,6.25,-1,-1,-1,-1,5.75,-1,none,,,,,,,,,,
35001279,4.8,-1,-1,-1,9,8.75,8.5,8,4.6,N1,,,,,,,,,,
35001280,8,6.75,5.75,4.75,-1,-1,-1,6.5,3.4,N1,,,,,,,,,,
35001281,7,-1,-1,-1,8.25,8.25,7.75,6.75,5.4,N1,,,,,,,,,,
35001282,8.4,5.5,8.25,8.25,-1,-1,-1,6.75,4.2,N1,,,,,,,,,,
35001283,6.6,-1,-1,-1,7.25,7,6.25,7,3.2,N1,,,,,,,,,,
35001284,8.2,7.5,4,3.5,-1,-1,-1,5.5,5.4,N1,,,,,,,,,,
35001285,8.8,-1,-1,-1,7.5,8,8.75,9,8.4,N1,,,,,,,,,,
35001286,4.6,-1,-1,-1,7.5,6.25,5.25,5,1.2,N1,,,,,,,,,,
35001287,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
35001288,8.6,8.5,9.25,3,-1,-1,-1,8.25,5.6,N1,,,,,,,,,,
35001289,3.6,-1,-1,-1,5.75,4,-1,4,-1,none,,,,,,,,,,
35001290,2.8,-1,-1,-1,7,4.75,-1,4.5,-1,none,,,,,,,,,,
35001291,2.6,-1,-1,-1,6.5,7,-1,4,-1,none,,,,,,,,,,
35001292,-1,-1,-1,-1,-1,-1,-1,-1,-1,none,,,,,,,,,,
